sample	sample_supplier_name	sample_donor_id	sample_accession_number	study_accession_number	sample_common_name	md5	id_run	lane	is_paired_read	tag_index	library_id	total_reads	study_id	study_title	reference	library_type	cram	cram_irods_location	ca_metrics_file	art_oxH
6590STDY10735080	PD53358a	PD53358a	NA	EGAS00001005663	Homo sapiens	237ad774f90c49834518ab9e6caf47ec	41760	1	1	17	50889390	40068728	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#17.cram	/seq/illumina/runs/41/41760/lane1/plex17/41760_1#17.cram	/seq/illumina/runs/41/41760/lane1/plex17/41760_1#17.substitution_metrics.txt	0.71
6590STDY10735080	PD53358a	PD53358a	NA	EGAS00001005663	Homo sapiens	857e8b7db4d6a1b1fccfbb1bad86daf2	41760	2	1	17	50889390	40005110	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_2#17.cram	/seq/illumina/runs/41/41760/lane2/plex17/41760_2#17.cram	/seq/illumina/runs/41/41760/lane2/plex17/41760_2#17.substitution_metrics.txt	0.7
6590STDY10735080	PD53358a	PD53358a	NA	EGAS00001005663	Homo sapiens	1e0a242783e0889c48f2c87ca18bca2c	41760	3	1	17	50889390	38943882	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_3#17.cram	/seq/illumina/runs/41/41760/lane3/plex17/41760_3#17.cram	/seq/illumina/runs/41/41760/lane3/plex17/41760_3#17.substitution_metrics.txt	0.73
6590STDY10735080	PD53358a	PD53358a	NA	EGAS00001005663	Homo sapiens	5d9a2e59927fc8ffe1848677937a7b9b	41760	4	1	17	50889390	38372760	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_4#17.cram	/seq/illumina/runs/41/41760/lane4/plex17/41760_4#17.cram	/seq/illumina/runs/41/41760/lane4/plex17/41760_4#17.substitution_metrics.txt	0.73
6590STDY10735116	PD53358b	PD53358b	NA	EGAS00001005663	Homo sapiens	ae439449d221e7c253ab413885a5999d	41760	1	1	85	50889418	55385128	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#85.cram	/seq/illumina/runs/41/41760/lane1/plex85/41760_1#85.cram	/seq/illumina/runs/41/41760/lane1/plex85/41760_1#85.substitution_metrics.txt	0.77
6590STDY10735116	PD53358b	PD53358b	NA	EGAS00001005663	Homo sapiens	c7c758b5973594302a19f794fdf416b7	41760	2	1	85	50889418	55383430	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_2#85.cram	/seq/illumina/runs/41/41760/lane2/plex85/41760_2#85.cram	/seq/illumina/runs/41/41760/lane2/plex85/41760_2#85.substitution_metrics.txt	0.77
6590STDY10735116	PD53358b	PD53358b	NA	EGAS00001005663	Homo sapiens	40911068742615765aae63580f57ea54	41760	3	1	85	50889418	53999174	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_3#85.cram	/seq/illumina/runs/41/41760/lane3/plex85/41760_3#85.cram	/seq/illumina/runs/41/41760/lane3/plex85/41760_3#85.substitution_metrics.txt	0.79
6590STDY10735116	PD53358b	PD53358b	NA	EGAS00001005663	Homo sapiens	7896d544ba3c4783261ef6dba2843aeb	41760	4	1	85	50889418	53395076	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_4#85.cram	/seq/illumina/runs/41/41760/lane4/plex85/41760_4#85.cram	/seq/illumina/runs/41/41760/lane4/plex85/41760_4#85.substitution_metrics.txt	0.8
6590STDY10735026	PD53359a	PD53359a	NA	EGAS00001005663	Homo sapiens	be6d0dff9fbf2f4cd28de95d9e6176b1	41760	1	1	38	23446211	40777280	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#38.cram	/seq/illumina/runs/41/41760/lane1/plex38/41760_1#38.cram	/seq/illumina/runs/41/41760/lane1/plex38/41760_1#38.substitution_metrics.txt	0.79
6590STDY10735026	PD53359a	PD53359a	NA	EGAS00001005663	Homo sapiens	d3b78ee30b6627a1a7b111cbaa601de9	41760	2	1	38	23446211	40787294	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_2#38.cram	/seq/illumina/runs/41/41760/lane2/plex38/41760_2#38.cram	/seq/illumina/runs/41/41760/lane2/plex38/41760_2#38.substitution_metrics.txt	0.78
